"requirement_id","phase","requirement","implementation_contract","test_contract","gate","artifact_contract","status","evidence_path"
"HA-19","Phase 1","legacy static full与fragment数学CLI和结果保持回归","LegacySQLiteStore独立路径且新增功能默认关闭","matched deterministic static full；fragment逐字节；static CLI；config defaults","Phase 1","legacy compatibility comparison","planned","TBD"
"HA-20","Phase 1","active HA控制面binary与递归discovery live set有界","DB-reference live set、gc ledger、retention、archive和共享iterator","1000 takeover claim cycle的rows dirs pages scan slope与非空计数","Phase 1","phase1 boundedness report","planned","TBD"
"MEM-01","Phase 2","learner_li实例每次启动唯一且CLI按模式约束","learner_li_uuid4 identity、instance paths和dynamic自生成CLI","同host同PID重启；duplicate process；static learner-id必填；dynamic learner-id拒绝","Phase 2","instance identity test report","planned","TBD"
"MEM-02","Phase 2","placement instance stream各epoch不混用且dynamic不依赖固定白名单glob","typed protocol objects、dynamic validator和RunPaths iterator","序列化；path ownership；错误identity；heartbeat pointer payload analysis扫描非空","Phase 2","identity contract report","planned","TBD"
"MEM-03","Phase 2","stream pool 固定且有界","初始化 streams 0 到 stream_pool_size 减一并禁止在线扩容","pool exhausted、1000 churn、越界 stream 请求","Phase 2","stream allocation report","planned","TBD"
"MEM-04","Phase 2","data shard RNG 只由固定 stream pool 决定","hf_data 以 stream_id 和固定 stream_pool_size 构建 iterator","active count 变化映射不变、不同 stream shard、replacement restart 标记","Phase 2","iterator mapping report","planned","TBD"
"MEM-05","Phase 2","同 placement 最多一个 current epoch","placements singleton-current transition 与 unique generation","healthy duplicate、authorized replacement、并发 replacement","Phase 2","placement transition trace","planned","TBD"
"MEM-06","Phase 2","同 stream 最多一个 current stream epoch","streams current owner 与 stream_epoch fenced allocation","stream revoke/reuse、旧 instance 恢复、并发 admission","Phase 2","stream transition trace","planned","TBD"
"MEM-07","Phase 2","健康 placement 不能被普通 duplicate registration 驱逐","admission 默认拒绝健康 current replacement","duplicate PBS job、stale request、unsolicited request 反例","Phase 2","registration rejection report","planned","TBD"
"MEM-08","Phase 2","bootstrap和scale注册都必须有request且重放幂等","deterministic bootstrap slots、request hash、TTL、processed result和tombstone","8个bootstrap slot成功；第9个无request拒绝；replay；内容冲突；TTL；takeover","Phase 2","registration idempotency report","planned","TBD"
"MEM-09","Phase 2","旧 instance 恢复不能重新成为 current","placement_epoch stream_epoch 和 admission token fence","revoke 后 SIGCONT、replacement 后旧 heartbeat 和 proposal","Phase 2","stale incarnation report","planned","TBD"
"MEM-10","Phase 2","heartbeat 不单独决定已摄取 proposal 是否提交","显式 membership transition 与 proposal 状态分离","heartbeat stale 但未 revoke；revoke 前后 selected proposal","Phase 2","liveness versus eligibility report","planned","TBD"
"MEM-11","Phase 2","final global commit transaction 重验 membership stream","commit_full_merge join instance placement stream 和 token hash","selection tensor load outer step 后分别 supersede 或 revoke","Phase 2","membership commit race report","planned","TBD"
"MEM-12","Phase 2","一次 merge 每 current stream placement 最多一份","selector 去重加 DB commit 唯一断言","同 instance duplicate、同 placement 双 instance、同 stream 双 proposal","Phase 2","selection uniqueness report","planned","TBD"
"MEM-13","Phase 2","bootstrap或scale logical request最多一个admitted instance","bootstrap slot和launch_request_id在admission transaction中唯一fulfill","bootstrap duplicate；qsub receipt crash；duplicate physical job；takeover reconcile","Phase 2","request-to-instance map","planned","TBD"
"MEM-14","Phase 2","capacity observation key 幂等","observation_key 主键与同 transaction counter 更新","merge observation replay、starvation replay、leader takeover","Phase 2","capacity observation table snapshot","planned","TBD"
"MEM-15","Phase 2","连续 low count 只基于不同 observation","unique observation sequence 和 persisted consecutive count","同 key 重放不触发；两个不同 low 触发；normal reset","Phase 2","low-window state trace","planned","TBD"
"MEM-16","Phase 2","cooldown pending reserved总预算stream pool共同限制扩容","deterministic request creator、initial membership gate、scheduler-persistent reserved和admission容量重验","initial deadline；cooldown；queued超过TTL；scheduler absent释放；跨request late job；max pending total；admitted加reserved上限","Phase 2","scale-out budget report","planned","TBD"
"MEM-17","Phase 2","draining 后不再创建或 admission 新 logical capacity","controller close transaction 取消 open requests并关闭 admission","close 与 request create race、queued job late registration、takeover","Phase 2","drain admission fence report","planned","TBD"
"MEM-18","Phase 2","健康 learner 通过 drain ack 停止发布","drain generation artifact、final pointer 和 idempotent ack","healthy cycle boundary、ack replay、旧 generation、late proposal","Phase 2","drain acknowledgement trace","planned","TBD"
"MEM-19","Phase 2","input_closed 满足完整 ack revoke request final visibility 谓词","持久 controller state、timeout revoke 和 visibility grace","健康 ack、dead timeout、unexpired registration、queued request、takeover","Phase 2","terminal closure proof artifact","planned","TBD"
"MEM-20","Phase 2","dynamic active state递归discovery逻辑物理有界且static fragment兼容","active indices、observation retention、archive GC、RunPaths iterator和mode gates","1000 churn rows pointers requests observations pages；expected与observed非空；static full；fragment reject","Phase 2","phase2 boundedness and compatibility report","planned","TBD"
